date,home,away,odds_home,odds_draw,odds_away,prob_home,prob_draw,prob_away
2025-10-12 00:00:00,Lithuania,Poland,9.85,4.99,1.31,0.0953,0.1881,0.7166
2025-10-12 00:00:00,Mali,Madagascar,1.95,3.21,3.82,0.4722,0.2868,0.241
2025-10-12 00:00:00,Netherlands,Finland,1.11,9.28,20.88,0.8527,0.102,0.0453
2025-10-12 00:00:00,Romania,Austria,4.94,3.87,1.67,0.191,0.2439,0.5651
2025-10-12 00:00:00,San Marino,Cyprus,16.65,6.88,1.16,0.0563,0.1362,0.8076
2025-10-12 00:00:00,Scotland,Belarus,1.12,8.53,21.41,0.8449,0.1109,0.0442
2025-10-12 00:00:00,Zambia,Niger,2.17,2.9,3.62,0.4259,0.3187,0.2553
2025-10-11 00:00:00,Bulgaria,Turkey,9.88,5.31,1.3,0.0956,0.1779,0.7265
2025-10-11 00:00:00,Curacao,Jamaica,3.22,2.99,2.24,0.2845,0.3064,0.409
2025-10-11 00:00:00,El Salvador,Panama,5.32,3.37,1.66,0.1729,0.273,0.5541
2025-10-11 00:00:00,Estonia,Italy,30.71,11.88,1.06,0.0307,0.0794,0.8899
2025-10-11 00:00:00,Hungary,Armenia,1.32,5.23,8.96,0.7144,0.1803,0.1053
2025-10-11 00:00:00,Iraq,Indonesia,1.75,3.61,4.23,0.5267,0.2553,0.2179
2025-10-11 00:00:00,Latvia,Andorra,1.6,3.39,6.98,0.5878,0.2774,0.1347
2025-10-11 00:00:00,Norway,Israel,1.22,6.86,10.65,0.7738,0.1376,0.0886
2025-10-11 00:00:00,Portugal,Ireland,1.13,8.12,20.71,0.8377,0.1166,0.0457
2025-10-11 00:00:00,Serbia,Albania,1.82,3.28,4.85,0.5181,0.2875,0.1944
2025-10-11 00:00:00,Spain,Georgia,1.15,8.11,15.47,0.8223,0.1166,0.0611
2025-10-11 00:00:00,United Arab Emirates,Oman,1.52,4.35,29.82,0.7141,0.2495,0.0364
2025-10-10 00:00:00,Belgium,North Macedonia,1.16,7.43,16.24,0.8146,0.1272,0.0582
2025-10-10 00:00:00,Bermuda,Trinidad & Tobago,4.24,3.96,1.66,0.2162,0.2315,0.5523
2025-10-10 00:00:00,France,Azerbaijan,1.01,29.55,86.55,0.9562,0.0327,0.0112
2025-10-10 00:00:00,Gambia,Gabon,3.49,3.14,2.09,0.2645,0.2939,0.4416
2025-10-10 00:00:00,Germany,Luxembourg,1.03,15.88,53.31,0.9224,0.0598,0.0178
2025-10-10 00:00:00,Honduras,Costa Rica,2.97,3.04,2.36,0.3091,0.302,0.389
2025-10-10 00:00:00,Iceland,Ukraine,3.15,3.31,2.26,0.2989,0.2845,0.4166
2025-10-10 00:00:00,Kazakhstan,Liechtenstein,1.07,10.5,38.94,0.8854,0.0902,0.0243
2025-10-10 00:00:00,Kosovo,Slovenia,2.4,2.97,3.2,0.3909,0.3159,0.2932
2025-10-10 00:00:00,Lesotho,Nigeria,30.8,12.43,1.04,0.0302,0.0749,0.8949
2025-10-10 00:00:00,Nicaragua,Haiti,3.61,3.34,1.94,0.2537,0.2742,0.4721
2025-10-10 00:00:00,Northern Ireland,Slovakia,2.41,2.85,3.31,0.3885,0.3286,0.2829
2025-10-10 00:00:00,Rwanda,Benin,2.98,2.86,2.5,0.3092,0.3222,0.3686
2025-10-10 00:00:00,Sao Tome and Principe,Tunisia,34.53,14.1,1.03,0.027,0.0662,0.9067
2025-10-10 00:00:00,Seychelles,Ivory Coast,65.2,33.2,1.01,0.0148,0.0291,0.9561
2025-10-10 00:00:00,South Sudan,Senegal,17.88,7.66,1.12,0.0518,0.121,0.8272
2025-10-10 00:00:00,Sudan,Mauritania,2.02,3.02,3.9,0.4573,0.3059,0.2368
2025-10-10 00:00:00,Suriname,Guatemala,2.36,2.94,3.1,0.39,0.3131,0.2969
2025-10-10 00:00:00,Sweden,Switzerland,2.43,3.43,2.78,0.3872,0.2743,0.3385
2025-10-10 00:00:00,Togo,DR Congo,4.09,3.22,1.89,0.2255,0.2865,0.488
2025-10-10 00:00:00,Zimbabwe,South Africa,17.5,4.79,1.22,0.0526,0.1923,0.7551
2025-10-09 00:00:00,Austria,San Marino,1.0,43.27,76.18,0.965,0.0223,0.0127
2025-10-09 00:00:00,Belarus,Denmark,22.76,8.26,1.12,0.0415,0.1144,0.844
2025-10-09 00:00:00,Botswana,Uganda,3.24,2.96,2.28,0.2844,0.3113,0.4042
2025-10-09 00:00:00,Burundi,Kenya,2.35,2.91,3.19,0.393,0.3174,0.2895
2025-10-09 00:00:00,Cyprus,Bosnia,3.8,3.38,1.99,0.2479,0.2787,0.4734
2025-10-09 00:00:00,Czech Republic,Croatia,3.2,3.38,2.2,0.294,0.2783,0.4276
2025-10-09 00:00:00,Faroe Islands,Montenegro,2.97,3.04,2.48,0.315,0.3078,0.3772
2025-10-09 00:00:00,Finland,Lithuania,1.54,3.85,6.43,0.6099,0.244,0.1461
2025-10-09 00:00:00,Liberia,Namibia,2.8,2.77,2.73,0.3293,0.3329,0.3378
2025-10-09 00:00:00,Malta,Netherlands,36.06,13.68,1.05,0.0263,0.0694,0.9043
2025-10-09 00:00:00,Mozambique,Guinea,2.57,2.95,2.81,0.359,0.3127,0.3283
2025-10-09 00:00:00,Scotland,Greece,2.75,3.1,2.65,0.3419,0.3033,0.3548
2025-10-09 00:00:00,Somalia,Algeria,43.47,15.33,1.02,0.0215,0.061,0.9174
2025-10-08 00:00:00,Central Africa,Ghana,13.09,6.06,1.19,0.0706,0.1525,0.7768
2025-10-08 00:00:00,Chad,Mali,11.06,4.92,1.27,0.0836,0.188,0.7284
2025-10-08 00:00:00,Comoros,Madagascar,2.36,2.84,3.25,0.3911,0.325,0.284
2025-10-08 00:00:00,Djibouti,Egypt,52.53,16.33,1.02,0.0179,0.0577,0.9243
2025-10-08 00:00:00,Eswatini,Angola,6.74,3.6,1.52,0.1369,0.2562,0.6069
2025-10-08 00:00:00,Ethiopia,Guinea Bissau,5.62,3.2,1.87,0.1736,0.3048,0.5216
2025-10-08 00:00:00,Indonesia,Saudi Arabia,6.19,3.92,1.5,0.1491,0.2355,0.6154
2025-10-08 00:00:00,Libya,Cape Verde,3.46,2.76,2.31,0.2666,0.3342,0.3993
2025-10-08 00:00:00,Mauritius,Cameroon,23.06,8.32,1.09,0.0401,0.1112,0.8487
2025-10-08 00:00:00,Niger,Congo,1.79,3.29,4.53,0.5157,0.2806,0.2038
2025-10-08 00:00:00,Oman,Qatar,4.49,3.01,1.89,0.2055,0.3065,0.4881
2025-10-08 00:00:00,Sierra Leone,Burkina Faso,4.41,3.24,1.82,0.209,0.2845,0.5065
2025-10-08 00:00:00,Tanzania,Zambia,2.7,2.83,2.78,0.3418,0.3261,0.332
2025-09-10 00:00:00,Bolivia,Brazil,3.57,3.24,2.12,0.2641,0.291,0.4448
2025-09-10 00:00:00,Chile,Uruguay,4.38,3.25,1.89,0.2144,0.2889,0.4968
2025-09-10 00:00:00,Costa Rica,Haiti,1.43,4.16,6.62,0.6411,0.2204,0.1385
2025-09-10 00:00:00,Curacao,Bermuda,1.18,6.53,11.31,0.7782,0.1406,0.0812
2025-09-10 00:00:00,Ecuador,Argentina,3.23,2.71,2.63,0.2924,0.3485,0.3591
2025-09-10 00:00:00,Honduras,Nicaragua,1.36,4.4,7.95,0.6756,0.2088,0.1156
2025-09-10 00:00:00,Jamaica,Trinidad & Tobago,1.36,4.47,7.5,0.6731,0.2048,0.1221
2025-09-10 00:00:00,Peru,Paraguay,2.65,2.73,3.15,0.3556,0.3452,0.2992
2025-09-10 00:00:00,Venezuela,Colombia,2.76,3.07,2.69,0.3419,0.3074,0.3508
2025-09-09 00:00:00,Albania,Latvia,1.31,4.87,10.56,0.7179,0.1931,0.0891
2025-09-09 00:00:00,Angola,Mauritius,1.15,6.41,18.56,0.8056,0.1445,0.0499
2025-09-09 00:00:00,Armenia,Ireland,3.83,3.42,1.96,0.2455,0.2749,0.4797
2025-09-09 00:00:00,Azerbaijan,Ukraine,8.73,4.72,1.36,0.1079,0.1996,0.6926
2025-09-09 00:00:00,Benin,Lesotho,1.46,3.7,8.03,0.6344,0.2503,0.1153
2025-09-09 00:00:00,Bosnia,Austria,5.04,3.73,1.68,0.1869,0.2525,0.5606
2025-09-09 00:00:00,Burkina Faso,Egypt,3.08,3.01,2.33,0.2989,0.3059,0.3952
2025-09-09 00:00:00,Cape Verde,Cameroon,2.81,2.75,2.75,0.3286,0.3357,0.3357
2025-09-09 00:00:00,Cyprus,Romania,4.63,3.64,1.75,0.2033,0.2587,0.538
2025-09-09 00:00:00,DR Congo,Senegal,3.42,2.78,2.31,0.2695,0.3315,0.399
2025-09-09 00:00:00,El Salvador,Suriname,2.26,2.87,3.31,0.4048,0.3188,0.2764
2025-09-09 00:00:00,France,Iceland,1.07,11.56,26.31,0.8824,0.0817,0.0359
2025-09-09 00:00:00,Gabon,Ivory Coast,4.0,2.78,2.11,0.2307,0.3319,0.4374
2025-09-09 00:00:00,Gambia,Burundi,1.79,3.28,4.51,0.5148,0.2809,0.2043
2025-09-09 00:00:00,Hungary,Portugal,6.31,4.51,1.47,0.1494,0.2091,0.6415
2025-09-09 00:00:00,Kenya,Seychelles,1.03,13.57,42.6,0.909,0.069,0.022
2025-09-09 00:00:00,Mauritania,South Sudan,1.34,4.29,9.7,0.6894,0.2153,0.0952
2025-09-09 00:00:00,Namibia,Sao Tome and Principe,1.15,6.2,19.09,0.8027,0.1489,0.0484
2025-09-09 00:00:00,Norway,Moldova,1.04,14.69,36.94,0.91,0.0644,0.0256
2025-09-09 00:00:00,Panama,Guatemala,1.33,4.61,8.14,0.6888,0.1987,0.1125
2025-09-09 00:00:00,Serbia,England,4.23,3.31,1.91,0.2226,0.2845,0.493
2025-09-09 00:00:00,Sierra Leone,Ethiopia,1.9,2.98,4.45,0.4844,0.3088,0.2068
2025-09-09 00:00:00,South Africa,Nigeria,2.77,2.73,2.81,0.3333,0.3382,0.3285
2025-09-09 00:00:00,Tanzania,Niger,1.7,3.23,5.35,0.5423,0.2854,0.1723
2025-09-09 00:00:00,Togo,Sudan,2.32,2.76,3.42,0.397,0.3337,0.2693
